URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,43.0,26.0,0.25,0.11,10.4,0.4,4.32,10.4,315.0,709.0,2.0,95.0,8.0
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,37.0,28.0,0.14,0.19,6.85,0.29,2.86,6.85,159.0,460.0,1.0,69.0,7.0
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,47.0,24.0,0.32,0.14,8.11,0.39,3.4,8.11,268.0,612.0,2.0,88.0,8.0
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,32.0,22.0,0.19,0.14,6.33,0.28,2.64,6.33,161.0,499.0,1.0,121.0,7.0
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,33.0,22.0,0.2,0.11,9.06,0.31,3.75,9.06,218.0,608.0,2.0,94.0,7.0
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,29.0,23.0,0.12,0.15,9.95,0.26,4.08,9.95,147.0,457.0,1.0,64.0,7.0
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,14.0,9.0,0.22,0.12,6.76,0.31,2.83,6.76,95.0,241.0,2.0,34.0,8.0
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0.0,0.0,0.0,0.0,5.0,0.2,2.08,5.0,1.0,4.0,2.0,1.0,8.0
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,21.0,13.0,0.24,0.19,8.75,0.13,3.55,8.75,41.0,245.0,1.0,34.0,7.0
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,42.0,28.0,0.2,0.13,9.42,0.35,3.91,9.42,269.0,674.0,2.0,145.0,7.0
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,29.0,37.0,-0.12,0.14,7.34,0.32,3.06,7.34,211.0,583.0,1.0,89.0,7.0
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,25.0,13.0,0.32,0.11,8.71,0.39,3.64,8.71,198.0,428.0,2.0,79.0,8.0
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,23.0,22.0,0.02,0.13,6.33,0.28,2.64,6.33,142.0,439.0,1.0,76.0,7.0
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,34.0,19.0,0.28,0.14,9.23,0.32,3.82,9.23,179.0,479.0,1.0,97.0,8.0
51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,42.0,14.0,0.5,0.13,8.11,0.32,3.37,8.11,207.0,562.0,2.0,120.0,7.0
52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,21.0,0.0,1.0,0.13,11.36,0.34,4.68,11.36,86.0,205.0,2.0,37.0,8.0
53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,45.0,28.0,0.23,0.17,73.78,0.3,29.63,73.78,197.0,570.0,1.0,99.0,7.0
54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,13.0,0.0,1.0,0.06,7.22,0.34,3.02,7.22,109.0,265.0,2.0,31.0,7.0
55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,14.0,5.0,0.47,0.09,8.18,0.42,3.44,8.18,137.0,274.0,2.0,37.0,8.0
56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,0.0,3.0,-1.0,0.06,16.29,0.19,6.59,16.29,22.0,82.0,2.0,19.0,8.0
57,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,0.0,0.0,0.0,0.0,5.0,0.2,2.08,5.0,1.0,4.0,2.0,1.0,8.0
58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,20.0,40.0,-0.33,0.15,10.25,0.32,4.23,10.25,181.0,494.0,2.0,70.0,7.0
59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,11.0,8.0,0.16,0.09,12.14,0.26,4.96,12.14,93.0,285.0,1.0,51.0,7.0
60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,20.0,13.0,0.21,0.1,4.62,0.46,2.03,4.62,233.0,423.0,1.0,87.0,8.0
61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,29.0,3.0,0.81,0.17,6.95,0.3,2.9,6.95,91.0,241.0,2.0,25.0,8.0
62,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,4.0,1.0,0.6,0.04,12.31,0.17,4.99,12.31,33.0,155.0,1.0,20.0,7.0
63,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,18.0,8.0,0.38,0.11,11.09,0.19,4.51,11.09,71.0,301.0,1.0,34.0,7.0
64,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,10.0,7.0,0.18,0.09,14.53,0.23,5.9,14.53,64.0,227.0,2.0,24.0,7.0
65,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,12.0,9.0,0.14,0.21,6.78,0.22,2.8,6.78,40.0,129.0,1.0,12.0,8.0
66,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,4.0,0.0,1.0,0.07,10.3,0.29,4.24,10.3,30.0,74.0,2.0,8.0,8.0
67,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,16.0,23.0,-0.18,0.19,6.07,0.18,2.5,6.07,60.0,268.0,1.0,38.0,7.0
68,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,5.0,2.0,0.43,0.11,13.44,0.11,5.42,13.44,13.0,85.0,1.0,8.0,7.0
69,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,23.0,9.0,0.44,0.14,11.03,0.32,4.54,11.03,108.0,286.0,2.0,25.0,8.0
70,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,1.0,5.0,-0.67,0.14,16.83,0.16,6.8,16.83,16.0,63.0,1.0,12.0,7.0
71,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,7.0,21.0,-0.5,0.27,9.23,0.23,3.78,9.23,46.0,143.0,1.0,19.0,7.0
72,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,19.0,37.0,-0.32,0.11,9.62,0.42,4.02,9.62,297.0,627.0,2.0,128.0,8.0
73,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,30.0,20.0,0.2,0.11,9.51,0.29,3.92,9.51,193.0,567.0,1.0,68.0,7.0
